listing_id;built_area;used_area
279282;900;0
288099;1010;NULL
290250;900;NULL
330945;1200;1200
339263;1010;1010
279284;1070;0
284839;1050;NULL
300083;1070;NULL
316220;1017;1017
336977;1070;1070
290255;2000;0
294098;2000;NULL
296556;0;1500
292892;3203;0
296563;0;1600
916412;600;0
993574;600;600
279295;800;407
282732;800;0
288743;0;800
374351;0;1300
279299;960;480
279299;960;480
279299;960;480
283066;940;0
283066;940;0
283066;940;0
284867;960;NULL
284867;960;NULL
288074;940;NULL
288074;940;NULL
288074;940;NULL
288322;960;0
288322;960;0
288322;960;0
290313;940;0
290313;940;0
290313;940;0
296013;930;NULL
296013;930;NULL
296013;930;NULL
296608;930;930
296608;930;930
296608;930;930
297558;930;NULL
297558;930;NULL
300071;100;930
300071;100;930
300071;100;930
300176;930;NULL
300176;930;NULL
300176;930;NULL
302171;1001;750
302171;1001;750
302171;1001;750
315771;940;NULL
315771;940;NULL
330947;930;930
330947;930;930
355857;0;930
283126;1052;0
279304;727;554
284869;760;NULL
296618;0;720
339296;0;760
374564;0;772
379614;760;0
385071;554;0
301006;1000;NULL
327016;0;1000
330774;1000;1000
348066;0;0
358973;0;1000
360278;1000;0
414464;0;1000
374380;1176;0
374380;1176;0
298157;652;NULL
318085;652;0
279323;685;408
283099;685;0
288014;685;NULL
289264;0;680
290398;620;0
293523;524;425
293523;524;425
296724;0;525
308642;0;355
337007;680;680
348084;0;425
348084;0;425
359755;0;685
374576;0;685
384806;680;0
389741;0;525
546032;0;524
282773;1094;0
282773;1094;0
328267;1144;0
279326;980;980
284900;900;NULL
288011;900;NULL
292384;1035;900
328123;980;0
348077;0;900
279327;760;585
279327;760;585
279327;760;585
284905;585;NULL
285849;585;0
285849;585;0
290406;585;0
290406;585;0
290406;585;0
290406;585;0
290406;585;0
294181;760;NULL
294181;760;NULL
296734;760;760
296734;760;760
296734;760;760
317080;585;507
317080;585;507
326827;760;585
326827;760;585
326827;760;585
326827;760;585
328531;585;0
328531;585;0
328531;585;0
329510;585;0
329510;585;0
329510;585;0
329510;585;0
329510;585;0
330952;0;760
331583;1285;1285
383514;0;585
383514;0;585
389770;0;585
389770;0;585
406417;0;585
279332;1000;910
290425;512;0
293904;750;750
296767;0;750
301804;750;750
350789;0;750
279335;634;437
300389;437;NULL
316143;695;0
296123;1037;NULL
296123;1037;NULL
296123;1037;NULL
363084;0;1643
279344;1111;804
282980;804;NULL
284949;804;NULL
285853;804;NULL
288605;804;0
289588;804;NULL
290448;802;0
292446;804;435
300194;700;700
287947;850;NULL
281655;650;0
296881;0;650
296881;0;650
279354;900;835
279354;900;835
292959;900;600
296929;900;900
298731;900;NULL
318121;900;NULL
339816;900;0
339816;900;0
348101;0;600
348101;0;600
387202;900;0
443074;900;0
443074;900;0
479240;900;0
479252;0;900
479252;0;900
279359;1026;940
282939;1200;0
296949;0;940
374597;0;1000
384782;1026;0
279361;800;800
279361;800;800
282656;721;0
288096;800;NULL
288096;800;NULL
299373;1200;NULL
316144;721;0
318101;1200;0
279362;730;500
279362;730;500
279362;730;500
279362;730;500
285858;750;NULL
289898;722;NULL
296961;0;750
296961;0;750
316563;750;0
316563;750;0
316563;750;0
316563;750;0
339294;0;722
279363;800;650
285860;818;NULL
287942;818;NULL
287942;818;NULL
290494;818;0
279366;645;645
282525;650;0
284967;650;NULL
284967;650;NULL
284967;650;NULL
296553;0;650
279373;1250;1250
340248;450;450
279380;627;380
283746;570;0
290576;570;340
296011;570;0
316084;400;NULL
316372;570;NULL
375977;0;570
375977;0;570
406419;0;500
406419;0;500
285859;450;0
301905;490;0
301988;490;0
288075;660;NULL
316579;600;0
293642;1037;750
348128;0;750
296614;0;750
279394;546;546
279394;546;546
282619;545;0
284986;600;NULL
288073;545;NULL
288073;545;NULL
293597;545;545
293597;545;545
293597;545;545
293597;545;545
296600;600;600
296600;600;600
296600;600;600
296611;480;480
296611;480;480
342889;711;711
279401;650;650
293974;495;0
296621;0;650
302316;702;604
348127;0;0
285011;650;NULL
288070;600;NULL
288791;0;480
290532;480;0
317485;650;0
279410;519;460
285029;675;NULL
288901;0;460
293623;675;460
336922;465;465
348134;0;460
279416;300;250
301755;300;250
328388;341;0
347169;0;300
279421;680;532
283723;532;0
285889;680;0
290545;660;0
292648;681;401
294213;680;NULL
300962;532;NULL
300962;532;NULL
300962;532;NULL
307968;680;680
339284;0;680
342896;680;680
348142;0;400.86
378125;660;0
389797;0;537
397892;660;0
405972;0;660
452468;660;0
659243;660;0
279425;602;513
298432;602;NULL
318170;602;NULL
279429;730;730
296654;0;800
384775;817;0
283474;700;0
294217;866;NULL
299831;447;0
301842;677;522
302083;677;522
279432;370;0
279435;2000;2000
293030;2000;0
293030;2000;0
328198;600;0
328198;600;0
354735;2000;0
354735;2000;0
354735;2000;0
354735;2000;0
354751;2000;0
354751;2000;0
354751;2000;0
354751;2000;0
358975;0;800
378323;0;1800
279436;600;0
285017;500;NULL
299283;0;NULL
314388;0;NULL
318139;0;0
342899;600;600
279438;700;400
279438;700;400
299798;503;NULL
299798;503;NULL
318179;503;0
318179;503;0
412071;503;0
279444;600;600
285778;600;NULL
285778;600;NULL
285778;600;NULL
301052;600;0
358990;0;600
409847;600;0
414583;550;0
323621;0;0
279450;445;410
283447;445;0
290256;484;0
290256;484;0
290256;484;0
304536;0;410
342935;484;484
342935;484;484
279451;434;434
279451;434;434
301138;363;NULL
301138;363;NULL
301138;363;NULL
279462;720;472
385323;880;0
279466;386;347
279466;386;347
279466;386;347
290282;340;0
290282;340;0
292788;434;390
292788;434;390
327726;0;347
327726;0;347
327726;0;347
327726;0;347
328309;0;0
340617;425;0
340617;425;0
340618;425;0
340618;425;0
343856;390;0
343856;390;0
348182;0;390
359782;0;434
279467;677;677
279467;677;677
287945;922;NULL
297623;922;NULL
318222;922;0
329489;922;0
332755;677;0
389813;0;922
279468;513;513
282922;402;0
285076;402;NULL
285908;402;0
287970;402;NULL
288372;0;512
290273;400;0
293546;737;512
294364;592;NULL
296762;0;512
302210;751;512
304637;512;0
304667;513;NULL
308513;0;512
323617;402;0
330875;0;737
332760;751;512
336824;512;512
339257;0;512
340239;400;400
342908;512;512
348180;0;512
374642;0;592
384011;0;512
384764;512;0
388252;0;512
389818;0;512
411491;512;0
411523;512;0
528305;0;512
1021083;0;512
287998;450;NULL
308794;0;550
279473;534;384
292523;384;384
296785;0;534
348181;0;384
389815;0;512
279475;590;590
290260;568;0
328033;0;490
340102;290;290
279477;782;678
283514;769;0
285089;800;NULL
293929;782;678
388255;0;769
279480;650;650
282083;750;0
296793;0;750
279484;885;885
316036;885;0
341976;885;885
358482;0;885
782492;0;885
389829;0;380
298878;650;NULL
318223;650;0
285057;4717;NULL
302893;3000;0
384130;0;3140
388472;3000;0
279501;600;600
287914;600;NULL
289066;0;600
296851;0;766
279515;550;550
279515;550;550
299204;550;NULL
316490;550;0
318279;550;0
375683;550;0
283156;450;0
283156;450;0
285927;450;0
292956;450;0
292956;450;0
279526;468;353
279527;580;580
279530;398;0
279530;398;0
285129;251;NULL
326306;330;0
326306;330;0
326619;251;0
326619;251;0
340122;0;0
340122;0;0
375685;330;0
389454;330;0
299003;500;NULL
316519;500;NULL
318211;500;0
326295;450;NULL
336985;351;351
397773;340;0
279533;400;400
289176;0;400
305086;0;NULL
279535;1246;1246
301870;1100;900
326506;1476;0
398555;0;1400
279544;319;178
285016;319;NULL
379814;319;0
279545;604;550
296582;0;550
374649;0;450
279546;787;787
282769;750;0
289333;0;821
289333;0;821
296794;0;850
299462;830;NULL
302593;700;0
316590;830;0
316842;0;830
316842;0;830
318371;830;0
323599;830;0
336413;850;850
336912;830;830
340143;830;830
342958;830;830
363125;0;830
366850;830;0
379764;830;0
384718;821;0
397648;830;800
285012;610;NULL
296087;600;NULL
296792;0;1200
388980;610;0
296224;NULL;NULL
296224;NULL;NULL
296224;NULL;NULL
344085;350;350
283446;495;0
279559;445;445
288833;600;0
344088;847;847
279560;560;560
279560;560;560
282630;560;0
282630;560;0
284916;565;NULL
284916;565;NULL
289356;0;500
289356;0;500
302205;601;500
305122;0;NULL
308611;550;550
317122;0;520
317122;0;520
342923;601;601
342923;601;601
347661;500;0
361492;0;426
361566;0;426
379711;565;0
379711;565;0
533536;0;550
279565;618;416
279567;950;950
282200;830;0
287876;900;NULL
287876;900;NULL
296627;0;920
279569;521;427
282148;620;0
289572;0;520
289572;0;520
302781;520;0
383494;0;600
279578;1044;1044
296739;0;1044
279584;398;398
279586;635;635
279586;635;635
279586;635;635
282317;665;0
296916;0;650
296916;0;650
302808;635;0
323597;650;0
323597;650;0
332824;665;360
336637;650;650
360474;0;655
374329;0;635
374329;0;635
384714;655;0
379719;0;282
379719;0;282
398298;282;0
655404;280;0
279590;308;263
293479;307;263
348173;0;263
348173;0;263
279591;475;320
283557;476;0
296910;0;475
279593;528;528
282831;560;0
284987;340;NULL
288010;430;NULL
288249;443;443
294207;380;0
296869;0;579
301351;380;380
311284;350;NULL
332827;579;450
337021;550;550
344086;579;579
348286;0;380
290346;650;0
279606;1175;1175
288819;0;842
296175;302;NULL
282452;380;0
288004;486;NULL
290422;450;0
296720;0;360
383592;0;362
384737;510;0
287856;534;NULL
382973;0;0
279614;648;648
282891;647;0
284934;600;NULL
287840;647;NULL
288732;600;0
301857;680;580
308558;450;450
327383;647;0
279620;410;357
409637;410;0
279624;471;349
279624;471;349
279625;750;0
296207;1000;NULL
316485;1000;0
279629;408;285
288039;402;NULL
293243;793;392
301959;560;380
316518;400;NULL
332792;400;400
337088;408;408
356628;0;402
361488;0;402
363638;701;700
363638;701;700
299417;765;NULL
318271;765;0
296284;423;NULL
316941;585;NULL
316941;585;NULL
337108;350;350
284938;560;NULL
306939;850;0
379726;560;0
279665;500;500
296705;0;500
296705;0;500
279667;480;420
279667;480;420
335058;490;0
358510;0;490
376190;420;0
379822;490;0
383448;0;485
383655;0;648
389904;0;500
294393;850;NULL
297038;0;600
375149;0;300
375149;0;300
375149;0;300
279681;600;350
296225;410;NULL
296653;0;619
279687;776;776
279687;776;776
279687;776;776
294184;776;NULL
348403;0;650
387756;776;0
279690;550;550
363133;0;650
279695;370;370
279695;370;370
285177;350;NULL
293735;350;0
299346;370;NULL
305030;0;NULL
305030;0;NULL
318637;370;0
323528;370;0
332957;350;300
332959;600;370
337159;370;370
337159;370;370
337159;370;370
343105;386;386
348554;0;0
379987;350;0
279699;420;420
279699;420;420
288692;0;420
288692;0;420
306990;425;0
306990;425;0
332977;750;420
355594;601;0
398635;469;434
493766;0;455
279701;412;352
281804;2402;NULL
293661;240;240
293661;240;240
294123;240;NULL
348400;0;240
348400;0;240
388274;0;350
293163;370;320
298962;358;NULL
318629;358;NULL
348561;0;320
356781;358;0
293846;680;380
342965;483;483
361682;648;514
289015;0;300
302583;450;300
305169;0;NULL
305169;0;NULL
323519;300;0
323519;300;0
405796;0;300
363144;0;522
279723;0;249
279731;300;250
279731;300;250
283525;300;0
283525;300;0
285069;300;NULL
285069;300;NULL
285069;300;NULL
285069;300;NULL
329614;235;0
329614;235;0
279734;290;NULL
279741;397;300
299262;397;NULL
318516;397;0
327963;340;NULL
327963;340;NULL
356752;0;0
530499;0;428
873893;0;400
294565;335;NULL
279749;490;490
288307;0;432
294999;482;NULL
341923;482;482
782605;0;482
279752;680;380
279752;680;380
363146;0;300
279754;200;200
279754;200;200
285090;200;NULL
285090;200;NULL
285090;200;NULL
287707;200;NULL
287707;200;NULL
288383;240;240
288383;240;240
293636;240;195
293636;240;195
294550;150;NULL
294550;150;NULL
302342;220;190
302342;220;190
330198;200;200
330263;200;0
330271;200;0
336768;300;300
339349;0;200
342996;319;319
342996;319;319
279756;542;356
298821;350;NULL
318471;350;0
287753;500;NULL
363150;0;468
279763;368;0
279763;368;0
282496;340;0
297000;0;370
302759;366;336
304608;336;NULL
279765;261;261
363222;0;222
279767;453;375
279768;303;258
279770;552;398
312253;552;NULL
749919;0;400
749919;0;400
279779;186.48;0
279779;186.48;0
279779;186.48;0
340160;0;0
361313;0;188
361313;0;188
361313;0;188
375672;188;0
389465;0;0
389971;0;480
279803;310;310
286023;410;0
286023;410;0
279804;300;300
285184;360;NULL
286020;400;0
286020;400;0
287720;250;NULL
294189;360;NULL
302621;360;0
304866;250;0
308360;0;350
343057;290;290
287704;270;NULL
344099;250;250
300966;450;NULL
300966;450;NULL
300966;450;NULL
300966;450;NULL
384172;0;700
389445;0;0
538696;412;0
279813;445;445
282361;650;0
283566;445;0
287719;445;NULL
293872;650;445
296870;650;650
298804;300;NULL
302908;650;460
316664;260;0
318579;300;NULL
323541;650;0
279816;420;420
287632;350;NULL
302750;524;324
299604;374;NULL
318551;374;0
279824;401;305
289812;0;250
289812;0;250
296371;305;NULL
296371;305;NULL
303035;244;0
303035;244;0
317339;401;305
341921;296;296
279838;284;202
282986;280;0
296092;202;NULL
301950;380;280
304763;280;0
279843;600;600
279847;500;500
303407;600;NULL
279849;492;0
282328;426;0
279862;508;508
279862;508;508
279862;508;508
289208;0;508
329199;508;0
379836;508;0
390660;0;390
300087;0;700
300087;0;700
323546;700;0
279865;500;383
289560;0;480
289560;0;480
296732;0;751
296732;0;751
336216;828;0
279869;300;235
336049;228;0
370575;410;0
370575;410;0
378419;0;550
296769;0;500
382327;575;0
279877;356;0
358535;0;310
282013;456;0
288702;0;456
347656;400;0
347656;400;0
285998;485;NULL
287815;369;NULL
279898;354;283
361499;0;354
287822;420;NULL
279904;220;220
282427;230;0
282427;230;0
282427;230;0
282427;230;0
288790;0;220
288790;0;220
288790;0;220
290334;230;0
290334;230;0
297064;0;220
297064;0;220
302209;0;202
305190;0;NULL
332906;250;0
332906;250;0
336966;220;220
336966;220;220
343030;220;220
279907;450;450
286040;500;0
287794;450;NULL
312270;580;480
329374;513;0
389961;0;450
279912;400;0
279912;400;0
287889;337;NULL
287889;337;NULL
334992;400;0
334992;400;0
279918;470;400
358518;0;400
279923;365;365
329685;301;0
329685;301;0
287682;401;NULL
286044;475;0
300158;475;475
330516;475;0
330516;475;0
330520;475;0
330520;475;0
279956;475;475
279962;430;430
294861;538;NULL
298999;400;NULL
318734;400;0
279967;550;550
294592;520;NULL
363165;0;550
363165;0;550
367039;500;0
279973;275;0
299741;320;NULL
318626;320;0
285139;360;NULL
285975;375;0
287854;380;NULL
279986;296;249
289711;0;NULL
296238;248;NULL
296819;250;250
279988;350;0
279994;350;350
279994;350;350
282972;260;0
282972;260;0
293631;309;244
362177;400;400
362177;400;400
294129;700;NULL
363140;0;700
280015;700;700
327696;650;NULL
287709;354;NULL
293847;450;275
348635;0;275
390557;450;0
289462;0;436
288155;484;0
294404;350;NULL
280037;282;282
316381;282;282
317319;272;0
280048;461;461
372861;0;0
280050;280;280
280051;436;436
294938;310;NULL
300352;250;250
300352;250;250
343060;484;484
384679;300;0
530055;436;436
287597;640;NULL
298549;700;NULL
320040;700;0
294892;470;NULL
340558;502;502
355934;0;1416
287648;240;NULL
1016410;240;0
280070;434;434
280070;434;434
280070;434;434
282124;434;0
282124;434;0
282124;434;0
285168;370;NULL
285168;370;NULL
285168;370;NULL
285168;370;NULL
285985;460;0
285985;460;0
285985;460;0
287824;434;NULL
287824;434;NULL
287824;434;NULL
288906;0;367
288906;0;367
288906;0;367
290248;434;0
290248;434;0
293933;434;370
293933;434;370
293933;434;370
294914;367;NULL
294914;367;NULL
294914;367;NULL
296912;0;434
296912;0;434
296912;0;434
302058;404;438
302058;404;438
302058;404;438
306408;0;NULL
306408;0;NULL
308749;434;434
329849;367;0
329849;367;0
329849;367;0
329849;367;0
329869;367;0
329869;367;0
332884;500;416
332884;500;416
336923;380;380
336923;380;380
336923;380;380
339252;0;435
339252;0;435
339252;0;435
340155;367;367
340155;367;367
343015;435;435
343015;435;435
348380;0;370
355930;0;434
379847;370;0
389932;0;367
389932;0;367
530474;370;0
1001217;434;0
280079;510;510
280081;607;607
285244;350;NULL
293977;350;0
295083;580;NULL
280083;700;700
280083;700;700
300464;0;580
300464;0;580
307896;0;700
307896;0;700
314874;700;0
316750;546;0
316750;546;0
316929;700;NULL
316929;700;NULL
339359;0;800
339359;0;800
280085;342;0
323457;248;0
294194;340;NULL
280096;428.81;0
315854;428;NULL
315854;428;NULL
315854;428;NULL
280103;350;300
287457;330;NULL
288253;350;350
301472;350;0
282360;400;0
285257;320;NULL
280133;504;504
294816;220;NULL
280138;385;385
280147;250;250
280157;250;250
288806;210;0
287698;430;NULL
294509;502;NULL
280166;333;333
320147;500;0
332168;434;0
280178;318;318
363587;180;0
280190;250;250
285278;472;NULL
293044;472;472
297634;330;NULL
297634;330;NULL
320063;330;0
320063;330;0
336936;331;331
280203;500;320
285300;535;NULL
285300;535;NULL
285300;535;NULL
288141;0;312
294608;450;NULL
302895;455;0
287604;607;NULL
782922;0;825
280211;330;330
294872;330;NULL
280218;300;252
363193;0;258
280227;270;270
287564;270;NULL
287564;270;NULL
353599;0;270
358271;0;270
987663;0;324
298893;150;NULL
318801;150;0
302248;410;330
280275;390;390
280281;600;0
280281;600;0
292984;600;0
292984;600;0
348671;0;0
348671;0;0
1047837;250;0
343158;190;190
294018;550;400
280361;1270;680
283799;227;0
283799;227;0
287483;182;NULL
288209;0;308
289756;227;182
292366;136;136
292369;150;125
294951;550;NULL
297076;0;135
297076;0;135
317603;135;NULL
334985;160;0
334985;160;0
340080;135;135
341822;280;280
286260;750;0
293728;300;300
298413;300;NULL
298413;300;NULL
298413;300;NULL
318869;300;0
318869;300;0
281565;850;850
288088;1000;NULL
288088;1000;NULL
288088;1000;NULL
281571;214;214
281573;696;696
288139;696;NULL
288139;696;NULL
293651;697;600
293651;697;600
294163;696;NULL
332701;680;0
348103;0;600
302354;2155;0
302451;2155;0
281578;1450;1450
281578;1450;1450
288038;1700;NULL
288038;1700;NULL
288038;1700;NULL
281582;2496;0
288052;2496;NULL
296543;0;3245
355844;0;2496
290395;950;0
363135;0;450
281593;590;0
287895;0;NULL
301957;1100;800
293298;1650;0
345782;2400;1400
345782;2400;1400
348082;0;0
365205;1100;0
357473;1500;0
279442;1260;1260
288466;0;0
306961;1234;0
281899;1030;0
374526;1000;0
296339;244;NULL
308406;0;450
282035;930;0
288063;964;NULL
296626;0;715
379897;340;0
379897;340;0
379897;340;0
279796;900;0
282061;908;0
287742;908;NULL
296766;0;900
375678;900;0
382913;0;0
389513;0;0
279502;1800;1800
282079;1500;0
282079;1500;0
279903;400;400
279903;400;400
279903;400;400
282106;398;0
282106;398;0
282106;398;0
287891;400;NULL
287891;400;NULL
287891;400;NULL
292593;429;325
296796;0;400
296796;0;400
296796;0;400
348456;0;325
282155;171;0
282280;486;0
284999;486;NULL
296658;0;630
389880;0;486
289215;355;355
282321;700;0
323329;700;0
282364;330;0
302741;330;0
282401;423;0
285024;602;NULL
285024;602;NULL
288918;0;603
288918;0;603
290466;602;0
294001;603;0
302822;850;0
330680;424;424
345498;602;0
345508;602;0
348445;0;0
359805;0;720
378379;0;600
384692;423;0
788420;603;0
279952;630;630
296729;0;750
296729;0;750
302305;612;612
323553;630;0
373054;630;0
279328;1000;1000
279328;1000;1000
279328;1000;1000
279328;1000;1000
282471;1296;NULL
287959;1296;NULL
287959;1296;NULL
370155;1296;0
370155;1296;0
370155;1296;0
814431;1000;0
814431;1000;0
293542;442;331
302346;442;331
331011;0;520
375014;3000;0
375047;3000;0
292671;997;0
282706;280;0
281572;1268;1068
281572;1268;1068
282730;1316;0
290420;1316;0
330161;1316;0
330161;1316;0
330448;1090;0
330451;1090;0
336260;1316;0
352765;0;1361
352765;0;1361
384804;1316;0
282780;400;0
282780;400;0
282780;400;0
297015;605;605
300893;320;320
316875;650;0
356412;0;800
376135;0;800
378746;605;0
279504;750;680
282788;450;0
290312;450;0
304888;450;0
282790;330;0
282895;350;0
282895;350;0
282895;350;0
301944;0;320
301944;0;320
378475;0;350
378475;0;350
282903;183;0
285112;800;NULL
326636;777;NULL
329336;800;0
377374;800;0
282954;928;0
288323;0;928
283000;325;NULL
283006;454;0
285952;454;NULL
290505;440;0
294576;450;NULL
342981;454;454
378515;0;440
279735;229;229
283043;229;0
288554;0;213.47
294265;229;NULL
332963;230;230
1042497;0;213
283058;624;0
